Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37485950,Reinventing Your Life: The Breakthough Program to End Negative Behavior...and Feel Great Again,Jeffrey E. Young,"Young, Jeffrey E.","Janet S. Klosko, Aaron T. Beck","=""1101667095""","=""9781101667095""",0,Plume,Kindle Edition,380,1994,1993,2026/07/12,2026/05/09,,,read,,,,1,0
112974860,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David  Brooks,"Brooks, David",,"=""059323006X""","=""9780593230084""",0,Random House,Kindle Edition,306,2023,2023,2026/07/10,2026/06/28,,,read,,,,1,0
61336,"Inside the Tornado: Strategies for Developing, Leveraging, and Surviving Hypergrowth Markets – Part Two of the Classic Marketing Series on Mainstream Customer Adoption (Collins Business Essentials)",Geoffrey A. Moore,"Moore, Geoffrey A.",,"=""0060745819""","=""9780060745813""",0,Harper Business,Paperback,272,2004,1995,,2026/07/05,to-read,to-read (#17),to-read,,,,0,0
4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim,"Kim, W. Chan",Renée Mauborgne,"=""1591396190""","=""9781591396192""",0,Harvard Business Review Press,Hardcover,240,2005,2005,,2026/07/05,to-read,to-read (#16),to-read,,,,0,0
18735846,The Innovator's Solution: Creating and Sustaining Successful Growth (Creating and Sustainability Successful Growth),Clayton,"Clayton, Clayton","Clayton M. Christensen, Michael, Michael E. Raynor","=""1422196585""","=""9781422196588""",0,Harvard Business Review Press,Kindle Edition,332,2013,2003,,2026/07/05,to-read,to-read (#15),to-read,,,,0,0
760025,Positioning: The Battle for Your Mind,Al Ries,"Ries, Al","Jack Trout, Philip Kotler","=""0071373586""","=""9780071373586""",0,McGraw Hill,Paperback,224,2000,1980,,2026/07/05,to-read,to-read (#14),to-read,,,,0,0
32816087,7 Powers: The Foundations of Business Strategy,Hamilton Wright Helmer,"Helmer, Hamilton Wright",,"=""0998116319""","=""9780998116310""",0,Hamilton Helmer,Paperback,210,2016,,,2026/07/05,to-read,to-read (#13),to-read,,,,0,0
567610,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Adler, Mortimer J.",Charles van Doren,"=""""","=""""",0,"Simon & Schuster, Inc",Paperback,442,1972,1940,,2026/06/28,,,read,,,,1,0
53343,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,"Zinsser, William",,"=""0060891548""","=""9780060891541""",0,Harper Perennial,Paperback,321,2006,1976,,2026/06/28,to-read,to-read (#12),to-read,,,,0,0
75665850,Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Shane Parrish,"Parrish, Shane",,"=""0593086112""","=""9780593086124""",0,Portfolio,Kindle Edition,284,2023,2023,,2026/06/28,to-read,to-read (#11),to-read,,,,0,0
26783430,Unscalable,Charlie Guo,"Guo, Charlie",,"=""194175855X""","=""9781941758557""",0,Inkshares,Paperback,160,2016,2016,,2026/06/03,to-read,to-read (#10),to-read,,,,0,0
13234710,The Founder's Dilemmas: Anticipating and Avoiding the Pitfalls That Can Sink a Startup (The Kauffman Foundation Series on Innovation and Entrepreneurship),Noam Wasserman,"Wasserman, Noam",,"=""0691149135""","=""9780691149134""",0,Princeton University Press,Hardcover,480,2012,2011,,2026/05/24,to-read,to-read (#9),to-read,,,,0,0
19212216,The Confidence Gap: A Guide to Overcoming Fear and Self-Doubt,Russ Harris,"Harris, Russ",Steven Hayes,"=""0834827662""","=""9780834827660""",0,Trumpeter,Kindle Edition,274,2011,2010,,2026/05/09,currently-reading,currently-reading (#3),currently-reading,,,,1,0
122769148,The Madefor Method: A step-by-step guide designed by world-renowned experts to help you get better at being your best,Patrick Dossett,"Dossett, Patrick",,"=""""","=""""",0,,Kindle Edition,374,2023,,,2026/03/28,currently-reading,currently-reading (#2),currently-reading,,,,1,0
75403434,Sun and Steel,Yukio Mishima,"Mishima, Yukio",,"=""5067567449""","=""9785067567444""",0,Lyle Stuart,Kindle Edition,104,1970,1968,,2026/01/25,currently-reading,currently-reading (#1),currently-reading,,,,1,0
20346778,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò",W.K. Marriott,"=""1625396872""","=""9781625396877""",4.0,Waxkeep Publishing,Kindle Edition,184,2013,1513,2017/04/30,2017/01/23,to-read,to-read (#8),to-read,,,,1,0
19437999,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"Singer, Michael A.",,"=""1608820491""","=""9781608820498""",4.0,New Harbinger Publications,Kindle Edition,314,2007,2007,2026/01/26,2025/10/19,,,read,,,,1,0
50484473,Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""052554187X""","=""9780525541875""",4.0,Portfolio,Hardcover,352,2020,2020,,2023/08/23,,,read,,,,1,0
21182,The Wisdom of Life,Arthur Schopenhauer,"Schopenhauer, Arthur",T. Bailey Saunders,"=""0486435504""","=""9780486435503""",0,Dover Publications,Paperback,77,2004,1851,,2026/01/25,to-read,to-read (#7),to-read,,,,0,0
522465,The Art of Worldly Wisdom: A Pocket Oracle,Baltasar Gracián,"Gracián, Baltasar",Christopher Maurer,"=""0385421311""","=""9780385421317""",0,Doubleday,Hardcover,208,1992,1647,,2026/01/25,to-read,to-read (#6),to-read,,,,0,0
25700,The Theory of Moral Sentiments,Adam Smith,"Smith, Adam",,"=""0486452913""","=""9780486452913""",0,Dover Publications,Paperback,368,2006,1759,,2026/01/25,to-read,to-read (#5),to-read,,,,0,0
58117439,Dopamine Nation: Finding Balance in the Age of Indulgence,Anna Lembke MD,"MD, Anna Lembke",,"=""""","=""""",0,Dutton,Kindle Edition,297,2021,2021,2026/01/25,2025/05/18,,,read,,,,1,0
40126247,How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,"Robertson, Donald J.",,"=""1250196639""","=""9781250196637""",5.0,St. Martin's Press,Kindle Edition,293,2019,2019,2025/12/31,2025/01/05,,,read,,,,1,0
2714607,The Ascent of Money: A Financial History of the World,Niall Ferguson,"Ferguson, Niall",,"=""1594201927""","=""9781594201929""",0,Penguin Press,Hardcover,442,2008,2007,,2024/11/28,,,read,,,,1,0
43536,Wooden: A Lifetime of Observations and Reflections On and Off the Court,John Wooden,"Wooden, John",Steve Jamison,"=""0809230410""","=""9780809230419""",0,McGraw-Hill,Hardcover,201,1997,1997,,2025/08/01,,,read,,,,1,0
55297149,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,"Bryar, Colin",Bill Carr,"=""1250267609""","=""9781250267603""",0,St. Martin's Press,Kindle Edition,304,2021,2021,2025/07/26,2025/03/23,,,read,,,,1,0
857333,The Art of Learning: A Journey in the Pursuit of Excellence,Josh Waitzkin,"Waitzkin, Josh",,"=""0743277457""","=""9780743277457""",4.0,Free Press,Hardcover,265,2007,2007,2025/06/24,2025/03/23,,,read,,,,1,0
53588649,Inner Excellence: Train Your Mind for Extraordinary Performance and the Best Possible Life,Jim     Murphy,"Murphy, Jim",,"=""1734654821""","=""9781734654820""",4.0,Inner Excellence Academy,Kindle Edition,362,2020,2009,,2025/05/18,,,read,,,,1,0
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,"=""157864366X""","=""9781578643660""",0,Donning Co Pub,Hardcover,512,2006,2005,,2022/04/03,"investing, learning-plan","investing (#1), learning-plan (#6)",learning-plan,,,,0,0
48691943,The Great CEO Within: The Tactical Guide to Company Building,Matt Mochary,"Mochary, Matt",,"=""0578599295""","=""9780578599298""",0,Mochary Films,Kindle Edition,200,2019,,,2025/06/02,learning-plan,learning-plan (#5),learning-plan,,,,0,0
